acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.0644,['Fleetwood Mac'],0.828,257800,0.4920000000000001,0,2J5fC21b1Bh6fOQLEserMy,0.00428,0,0.128,-9.745,1,Dreams - 2004 Remaster,12,2020-12-19,0.0276,120.148,0.789
0.147,['Platinum Deluxe'],0.6920000000000001,263000,0.428,0,52YdnV9MSmLdAxaHZ9hat4,0.0,7,0.125,-8.955,0,Lovers and Friends,13,2020-06-09,0.263,139.668,0.3389999999999999
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.379,['Paul Carrack'],0.531,246357,0.757,0,0fw1cncHGEjjU5ik4XbnMn,0.0,2,0.953,-8.036,1,"Don't Shed a Tear - Live at Bonn, Germany, 2005",6,2020-01-31,0.0394,109.993,0.396
0.2239999999999999,['Paul Carrack'],0.599,181956,0.812,0,6Bdpf6rigcy5CjgU4lD7PH,0.0,9,0.983,-7.72,1,"When You Walk in the Room - Live at Bonn, Germany, 2005",12,2020-03-13,0.0377,119.932,0.693
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.861,['Rascal Flatts'],0.49,232307,0.297,0,1ZHPXfi1qk9FctBO74TRLl,0.0,0,0.0979,-6.504,1,I'm Movin' On - Remastered 2008,34,2020-10-02,0.0305,127.079,0.2739999999999999
0.0009019999999999,['Bad Karma'],0.4920000000000001,257707,0.708,0,1iDJY7f0VafwL7Dxv1D8Bz,4.43e-06,2,0.132,-5.166,1,Always the Same,12,2020-08-14,0.0467,168.636,0.345
0.0033399999999999,['Technoboy'],0.528,244344,0.816,0,0v3xgACcuoic1OVmSnQk4R,0.3979999999999999,0,0.123,-6.66,0,Next Dimensional World (Qlimax Anthem 2008),22,2020-02-03,0.0445,149.986,0.201
0.7190000000000001,['The Progress'],0.281,181960,0.449,0,3xfYSnMocwX89BcVYskih0,0.0,0,0.1639999999999999,-10.012,1,Half New Year,2,2020-03-27,0.0325,176.12,0.177
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.00306,['Headhunterz'],0.489,437451,0.875,0,10ZpPhFc9rMNdlyW3WsL0s,0.0502,7,0.0647,-5.416,1,Scrap Attack (Defqon.1 Anthem 2009),44,2020-02-03,0.1119999999999999,149.984,0.188
0.00499,['Armin van Buuren'],0.397,36500,0.638,0,7tH6tGz6cQtpYReqHTlyjN,0.0,2,0.364,-7.256,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",30,2020-12-24,0.176,134.284,0.677
0.0236,['Armin van Buuren'],0.542,33800,0.794,0,7Kh32CyazzTdVEBXjKINVO,0.0,7,0.148,-6.412999999999999,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",30,2020-12-24,0.303,143.377,0.81
0.0551,['Noisecontrollers'],0.7,368000,0.917,0,4qjUVWM2BgIIpVtoF9uhp5,0.0248,5,0.118,-5.678,0,CTRL.ALT.DELETE (In Qontrol Anthem 2009),19,2020-02-03,0.0986,150.011,0.386
0.165,['Ema Spatula'],0.6990000000000001,83853,0.5579999999999999,0,6s0QJ4tfTOkkkOMQz8HCrg,0.883,9,0.0932,-14.713,1,Year 2020,30,2020-04-08,0.0541,99.996,0.3979999999999999
0.000717,"['Suffused', 'MSZ']",0.585,457306,0.866,0,7FmPp4BjDVaEwhsEO7B7Oe,0.846,9,0.159,-6.126,0,Year 2008 - MSZ Remix,22,2020-01-06,0.034,127.009,0.45
0.172,['Nothing More'],0.265,258787,0.5760000000000001,0,6IAlJ7TVGye3fC9VJgigMr,0.0,5,0.0896,-6.99,0,Gone (Acoustic 2010),32,2020-10-30,0.0301,150.84,0.225
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.7,['Hammock'],0.0692,533707,0.285,0,51TAp7p7B3xboCl5HWmEkF,0.6729999999999999,2,0.1989999999999999,-14.854,1,Longest Year - 2020,36,2020-12-04,0.0482,78.572,0.0312
0.4679999999999999,['Matt Monro'],0.625,218707,0.53,0,5fHn2M3QwAqls4fPnvbSiX,0.0,7,0.0346,-10.577,1,We're Gonna Change The World - Remastered 2010,19,2020-03-13,0.0334,103.026,0.8690000000000001
0.0964,['Armin van Buuren'],0.645,32000,0.852,0,6BMhvxuuCm1QAxYVrFuPZU,0.0,11,0.278,-7.289,0,A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,30,2020-12-24,0.374,137.985,0.737
0.122,['Armin van Buuren'],0.6779999999999999,31750,0.529,0,3BhzJoBiQ227D912eRPhuQ,0.0,10,0.46,-7.468,1,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",32,2020-12-17,0.363,130.26,0.921
0.00021,['Armin van Buuren'],0.261,31620,0.8909999999999999,0,1bJG34rBXF6dtTMpgQyAPE,1.44e-05,7,0.293,-6.621,1,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",32,2020-12-17,0.225,131.767,0.934
0.0093099999999999,['Armin van Buuren'],0.578,32340,0.522,0,44b9NSmpDxEHDV3PBca9T1,0.0,2,0.298,-7.157,0,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",32,2020-12-17,0.362,132.724,0.75
0.00499,['Armin van Buuren'],0.397,36500,0.638,0,7tH6tGz6cQtpYReqHTlyjN,0.0,2,0.364,-7.256,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",30,2020-12-24,0.176,134.284,0.677
0.0236,['Armin van Buuren'],0.542,33800,0.794,0,7Kh32CyazzTdVEBXjKINVO,0.0,7,0.148,-6.412999999999999,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",30,2020-12-24,0.303,143.377,0.81
0.0582,['Armin van Buuren'],0.583,31540,0.879,0,0E6JG0zasoAzGWM6uf53mr,0.0,6,0.3,-7.717,0,"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",30,2020-12-17,0.325,130.629,0.615
0.282,['Armin van Buuren'],0.675,33080,0.7190000000000001,0,3tGDk2LUBujuY52fvT8vax,0.0,1,0.609,-6.893,1,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",30,2020-12-10,0.3339999999999999,130.582,0.815
0.00104,['Armin van Buuren'],0.364,33580,0.875,0,53ajwl5PS1BgR0UJZYdrtf,0.0,6,0.0802,-6.375,0,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",30,2020-12-10,0.0909,132.955,0.6659999999999999
0.153,['Armin van Buuren'],0.597,32250,0.7859999999999999,0,0hxNCO70HfA25Vi3fv7J7f,0.0,1,0.384,-7.28,1,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",30,2020-12-10,0.354,83.68299999999998,0.599
0.647,['Matt Monro'],0.249,203093,0.336,0,1EHm9wcJKe8PGD303ou51F,0.000197,7,0.442,-13.452,1,All Of A Sudden - Remastered 2010,12,2020-03-13,0.0465,175.408,0.1669999999999999
0.00425,['Demi Lovato'],0.583,214740,0.61,1,3F3M6lvJNS2E9e0bs8wv8c,0.000105,5,0.14,-5.638999999999999,0,Cool for the Summer,20,2020-12-16,0.0382,114.06,0.336
0.0665,['The Vamps'],0.525,185093,0.816,0,1ZtdgYmIcGT9DWjmAo74YW,0.0,3,0.325,-5.977,1,Somebody To You,10,2020-12-16,0.0337,172.005,0.9
0.00389,"['Justin Bieber', 'BloodPop®']",0.743,189467,0.735,0,3MHJzMqF3KX589RWfdSHoV,0.0,8,0.304,-5.3370000000000015,1,Friends,14,2020-12-16,0.0382,104.979,0.631
0.0675,['Ra Ra Riot'],0.212,242160,0.866,0,0laZHC5Th6MqimlH15kp8k,0.0,11,0.198,-5.709,0,Each Year - Live in Kyoto 2010,4,2020-07-28,0.206,159.632,0.282
0.00866,['Imagine Dragons'],0.601,187147,0.8240000000000001,0,7uiNaH0220BK2ahQFCG048,0.173,0,0.155,-4.757,1,Thunder,20,2020-12-16,0.0474,167.965,0.246
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.00499,['Armin van Buuren'],0.397,36500,0.638,0,7tH6tGz6cQtpYReqHTlyjN,0.0,2,0.364,-7.256,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",30,2020-12-24,0.176,134.284,0.677
0.0236,['Armin van Buuren'],0.542,33800,0.794,0,7Kh32CyazzTdVEBXjKINVO,0.0,7,0.148,-6.412999999999999,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",30,2020-12-24,0.303,143.377,0.81
0.000102,['Slusnik Luna'],0.594,436110,0.961,0,7FD1kL5YMvN7IX0mdUkpd1,0.909,7,0.118,-7.649,1,Sun 2011 - Mixed,12,2020-09-03,0.0484,127.97,0.0476
3.64e-05,['Matt Lange'],0.657,355375,0.851,0,1mSyY6aFZmk6DxaqoJKkEB,0.7909999999999999,6,0.0986,-7.893,0,Bad Year Blimp - Mixed,11,2020-10-27,0.0546,124.697,0.0954
2.97e-05,['Slusnik Luna'],0.506,223523,0.952,0,4unu6WB9yGpiHbJvmxwM6q,0.8440000000000001,1,0.0389,-6.557,0,Sun 2011 - Edit,6,2020-09-03,0.0439,131.997,0.149
0.165,['Ema Spatula'],0.6990000000000001,83853,0.5579999999999999,0,6s0QJ4tfTOkkkOMQz8HCrg,0.883,9,0.0932,-14.713,1,Year 2020,30,2020-04-08,0.0541,99.996,0.3979999999999999
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.7,['Hammock'],0.0692,533707,0.285,0,51TAp7p7B3xboCl5HWmEkF,0.6729999999999999,2,0.1989999999999999,-14.854,1,Longest Year - 2020,36,2020-12-04,0.0482,78.572,0.0312
0.122,['Armin van Buuren'],0.6779999999999999,31750,0.529,0,3BhzJoBiQ227D912eRPhuQ,0.0,10,0.46,-7.468,1,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",32,2020-12-17,0.363,130.26,0.921
0.00021,['Armin van Buuren'],0.261,31620,0.8909999999999999,0,1bJG34rBXF6dtTMpgQyAPE,1.44e-05,7,0.293,-6.621,1,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",32,2020-12-17,0.225,131.767,0.934
0.0093099999999999,['Armin van Buuren'],0.578,32340,0.522,0,44b9NSmpDxEHDV3PBca9T1,0.0,2,0.298,-7.157,0,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",32,2020-12-17,0.362,132.724,0.75
0.00499,['Armin van Buuren'],0.397,36500,0.638,0,7tH6tGz6cQtpYReqHTlyjN,0.0,2,0.364,-7.256,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",30,2020-12-24,0.176,134.284,0.677
0.0236,['Armin van Buuren'],0.542,33800,0.794,0,7Kh32CyazzTdVEBXjKINVO,0.0,7,0.148,-6.412999999999999,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",30,2020-12-24,0.303,143.377,0.81
0.0964,['Armin van Buuren'],0.645,32000,0.852,0,6BMhvxuuCm1QAxYVrFuPZU,0.0,11,0.278,-7.289,0,A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,30,2020-12-24,0.374,137.985,0.737
0.0582,['Armin van Buuren'],0.583,31540,0.879,0,0E6JG0zasoAzGWM6uf53mr,0.0,6,0.3,-7.717,0,"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",30,2020-12-17,0.325,130.629,0.615
0.282,['Armin van Buuren'],0.675,33080,0.7190000000000001,0,3tGDk2LUBujuY52fvT8vax,0.0,1,0.609,-6.893,1,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",30,2020-12-10,0.3339999999999999,130.582,0.815
0.00104,['Armin van Buuren'],0.364,33580,0.875,0,53ajwl5PS1BgR0UJZYdrtf,0.0,6,0.0802,-6.375,0,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",30,2020-12-10,0.0909,132.955,0.6659999999999999
0.153,['Armin van Buuren'],0.597,32250,0.7859999999999999,0,0hxNCO70HfA25Vi3fv7J7f,0.0,1,0.384,-7.28,1,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",30,2020-12-10,0.354,83.68299999999998,0.599
0.00644,['Armin van Buuren'],0.452,33830,0.738,0,4m9wZAb0wtNjjSCosCLVCd,0.0,1,0.375,-6.7360000000000015,1,"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",27,2020-12-03,0.193,115.737,0.7609999999999999
0.00614,['Armin van Buuren'],0.574,31830,0.731,0,6mmttSQV7qJX80VGgFCOzV,0.0,7,0.483,-6.6160000000000005,1,"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",27,2020-12-03,0.121,135.92600000000002,0.8740000000000001
0.0597,['Armin van Buuren'],0.696,40570,0.727,0,57sf9Qm0AXh2AA72tQbwjm,0.0,11,0.316,-8.107000000000001,1,"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2",29,2020-12-17,0.235,109.916,0.8220000000000001
0.000487,['Armin van Buuren'],0.358,32310,0.8640000000000001,0,1Erw27vIC5o4pkOb4nC0Kx,2.67e-05,0,0.322,-6.728,1,"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",26,2020-11-26,0.362,138.467,0.7859999999999999
0.0129,['Armin van Buuren'],0.595,33040,0.589,0,137DXi38xjPq44uT3npk5f,0.0,7,0.401,-7.49,1,"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",26,2020-11-26,0.324,86.37299999999998,0.934
0.00261,['Armin van Buuren'],0.3979999999999999,35570,0.888,0,4ZLDQDJ8OYBlitjLghJWKI,0.0,6,0.3989999999999999,-6.211,0,"A State Of Trance (ASOT 992) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",25,2020-11-26,0.363,136.148,0.3779999999999999
0.000251,['Armin van Buuren'],0.4320000000000001,32670,0.93,0,3XjZbwTQxq2EaFQUSUwozE,0.000348,6,0.3939999999999999,-7.056,0,"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",25,2020-11-19,0.161,132.928,0.6829999999999999
0.0224,['Armin van Buuren'],0.593,32080,0.483,0,4fKTb9Rb4HfjoswfQBTJxF,0.0,5,0.723,-7.417000000000002,0,"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",25,2020-11-19,0.2019999999999999,130.539,0.8140000000000001
0.434,['Armin van Buuren'],0.727,38330,0.767,0,7bPhqHzOvdsw5y6reuJz52,0.0,0,0.532,-7.291,1,"A State Of Trance (ASOT 991) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",24,2020-11-19,0.536,127.471,0.969
0.00231,"['Jantika', 'Katarina July']",0.75,360000,0.564,0,2GeaIYDY4wDuPPOrR9dZ5m,0.92,5,0.0812,-5.902,1,Happy New Year 2012,11,2020-06-18,0.0518,128.013,0.253
0.0026899999999999,"['Jantika', 'Katarina July']",0.7,360779,0.525,0,1acXeE6qulYWUFBEfxmqXf,0.954,5,0.0904,-6.83,1,Happy New Year 2012 - Instrumental Mix,11,2020-06-23,0.0436,127.998,0.302
0.0205,['Alexander Borisov'],0.599,472955,0.8079999999999999,0,0jlDd27P2yIagq100UNo2G,0.0889,7,0.181,-9.849,0,The Epoch of Trance,16,2020-05-18,0.0623,135.994,0.102
0.0373,['Sergey Rubin'],0.579,321245,0.925,0,6xNgOM8kKDcOuFMBzdKanI,0.848,0,0.7659999999999999,-6.104,0,Enigma - Extended Mix,14,2020-05-18,0.0352,138.006,0.141
0.00743,"['2Loop', 'evGEN fm']",0.58,384000,0.892,0,3vIRg3piJWagbiaEAcfLuQ,0.611,2,0.0468,-7.598,0,"Clock, Time of Live!",14,2020-05-18,0.0853,134.966,0.718
0.000343,['Jenka'],0.609,232534,0.97,0,6wKB9gUFy15TD2jpAVSYad,0.883,8,0.286,-2.309,1,Void,14,2020-05-18,0.0813,127.953,0.264
0.000254,['Vassage'],0.685,334796,0.7240000000000001,0,7nTh0tsxS8SApfKVajs8xD,0.892,0,0.3279999999999999,-7.277,0,Capacitor,14,2020-05-18,0.078,132.035,0.446
0.000109,['2Loop'],0.632,380000,0.7659999999999999,0,68W3tM4Io56O03shZ5xKy4,0.889,5,0.108,-12.017,1,On The Board,13,2020-05-18,0.0645,134.99,0.397
9.07e-05,['A-mase'],0.575,458182,0.963,0,1u757PYYrVTh8S1jKZJA5E,0.342,11,0.381,-3.624,0,The First Step,13,2020-05-18,0.0463,132.019,0.534
0.0006,['Bertello Mucho'],0.65,348923,0.956,0,0ahyagbFCERJFTlU5BpUYo,0.636,10,0.0496,-4.575,0,Fight For Your Dreams - Extended Mix,13,2020-05-18,0.0458,129.994,0.12
0.00164,['FLRK!'],0.737,381993,0.917,0,3TQwzAkzt8fQu3DsaToGqP,0.858,7,0.782,-7.112,0,Cult,12,2020-05-18,0.0675,133.00799999999998,0.812
0.0001909999999999,"['Airum', 'Avenax']",0.613,438481,0.8009999999999999,0,3QouT2YRHIPWLvjpJOLiyk,0.0488,1,0.133,-7.7,0,Listen,12,2020-05-18,0.0457,129.997,0.156
0.139,['Kla Project'],0.342,303360,0.511,0,3pVQ7mzxiMZwQrMvLbCrAo,0.0,11,0.27,-8.342,1,"Menjemput Impian - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013",35,2020-08-06,0.0402,124.421,0.136
0.000666,"['Eskova', '2Loop', 'Misha Sinal']",0.662,445724,0.939,0,4GAbY79M8dqiSUNwkQTrst,0.889,8,0.0927,-4.681,0,Raindrops - Misha Sinal Remix,11,2020-05-18,0.0806,132.999,0.5429999999999999
0.00471,['A-mase'],0.585,420000,0.921,0,6X9D32oqs57q3FpuDAo4sL,0.927,6,0.0911,-7.209,0,Spring Breathing,11,2020-05-18,0.0462,127.992,0.435
0.6,['Scuttlebuggs'],0.358,293000,0.198,0,2OEAMgFPIi6ssx3C0bJgya,0.46,9,0.149,-13.536,1,2014: Year of Lady Gorilla,7,2020-05-11,0.0286,87.97,0.206
0.847,['Pete Davidson'],0.644,95253,0.369,1,2WX9qC0U8s3LKKw3a4gzec,0.0,11,0.904,-19.426,1,12 Years a Slave (Jfl 2014),9,2020-01-04,0.954,65.732,0.5
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.00499,['Armin van Buuren'],0.397,36500,0.638,0,7tH6tGz6cQtpYReqHTlyjN,0.0,2,0.364,-7.256,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",30,2020-12-24,0.176,134.284,0.677
0.0236,['Armin van Buuren'],0.542,33800,0.794,0,7Kh32CyazzTdVEBXjKINVO,0.0,7,0.148,-6.412999999999999,1,"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",30,2020-12-24,0.303,143.377,0.81
0.0014199999999999,['Lowtails'],0.8420000000000001,135976,0.483,0,2R3fPAcc7rSfD67XnKcqzJ,0.887,4,0.1119999999999999,-17.448,0,Last Drop,22,2020-04-25,0.106,135.042,0.57
0.884,['Lowtails'],0.831,142087,0.191,0,6GmmOC67pohqMrvc2rWEWE,0.963,9,0.109,-12.717,0,Alright Alright,22,2020-04-25,0.287,131.918,0.728
0.8079999999999999,['Lowtails'],0.653,154900,0.2689999999999999,0,3RyUt9Aueu7NaLsxB6Mci6,0.425,7,0.318,-13.898,1,Hook Me Up,22,2020-04-25,0.0315,88.99700000000001,0.649
0.485,['Lowtails'],0.645,132540,0.05,0,1AVkz3i9bukouYeqEXxTjs,0.555,0,0.0807,-19.656,1,Get Home,22,2020-04-25,0.4579999999999999,89.01299999999998,0.6970000000000001
0.178,['Lowtails'],0.636,164328,0.608,0,1RzwbmgUmjGmZG1Le8Ox0x,0.836,4,0.0847,-11.99,0,Personal Space,22,2020-04-25,0.0377,132.002,0.0696
